content_source,id,likes,reach,saved,views,shares,follows,comments,replies,profile_visits,total_interactions
media,17842532166648311,1509,44787,13,117221,27,0,31,,248,1585
media,17842908882689315,5254,64692,22,206164,85,3,31,,109,5403
media,17843095044621593,1231,51740,11,139697,8,2,16,,26,1265
media,17843109222695735,19922,168837,83,354419,313,7,70,,228,20753
media,17843164533616025,1238,36801,17,67217,21,,16,,,1298
media,17844700524619009,968,30691,18,50496,28,,27,,,1057
media,17845344471632532,2770,26800,17,41447,28,,41,,,2881
media,17845496094628097,235,27402,2,39041,4,0,5,,24,247
media,17845852572478958,1304,83442,16,101353,25,65,12,,526,1358
media,17845880088594175,118,7305,3,9048,4,,11,,,136
media,17846302821626698,447,5427,5,26328,33,14,5,,34,495
media,17846789091440937,653,4082,1,8217,5,1,2,,40,661
media,17847049248602237,4206,317456,48,576800,161,,42,,,4498
media,17847068340558830,2812,24652,14,52028,5,21,7,,82,2845
media,17847524691618427,2981,42436,12,140735,60,4,25,,251,3079
media,17848064277680645,2644,13483,43,26681,12,,6,,,2750
media,17848136388420973,350,3461,2,4604,11,0,4,,24,367
media,17848269528629694,2547,41958,13,114669,53,3,29,,243,2650
media,17848606035617379,3770,67031,11,190447,454,5,17,,289,4257
media,17848627371659904,2430,58291,133,161084,934,77,49,,503,3575
media,17849093367457197,791,20678,5,30658,3,,5,,,804
media,17849097141601820,505,13270,4,21688,17,4,26,,39,559
media,17849154447512359,189,9825,4,13193,2,,10,,,205
media,17849187549604681,2917,47680,12,166456,47,3,24,,80,3018
media,17849235150452657,1083,7549,8,26830,7,0,9,,27,1107
media,17849263329658279,1306,34274,8,90927,48,3,12,,138,1381
media,17849351301676493,7721,86900,110,148714,82,,60,,,8095
media,17849696088563897,2849,44524,68,166125,333,6,67,,345,3327
media,17850039336598320,2551,63770,15,180686,37,5,35,,65,2650
media,17850237822630995,347,9760,4,15631,12,0,9,,16,377
media,17850257331576176,387,7325,5,22436,21,1,27,,40,441
media,17850374535596308,244,3455,2,13808,0,0,27,,92,274
